"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1984","User registration with correct email, username and password","LMS system","Tue May 26 03:34:54 UTC 2026","passed","Tue May 26 03:34:56 UTC 2026","Registration","Authentication","",""
"","2736","Create course","LMS system","Tue May 26 03:34:58 UTC 2026","passed","Tue May 26 03:35:01 UTC 2026","Courses","Courses","",""
"","3228","User login with correct email and password","LMS system","Tue May 26 03:34:49 UTC 2026","passed","Tue May 26 03:34:52 UTC 2026","Authorization","Authentication","",""
"","1768","Check displaying of dashboard page","LMS system","Tue May 26 03:35:01 UTC 2026","passed","Tue May 26 03:35:03 UTC 2026","Dashboard","Dashboard","",""
"","2979","Edit course","LMS system","Tue May 26 03:34:59 UTC 2026","passed","Tue May 26 03:35:02 UTC 2026","Courses","Courses","",""
"","2105","User login with wrong email or password","LMS system","Tue May 26 03:34:49 UTC 2026","passed","Tue May 26 03:34:51 UTC 2026","Authorization","Authentication","",""
"","1782","User login with wrong email or password","LMS system","Tue May 26 03:34:51 UTC 2026","passed","Tue May 26 03:34:53 UTC 2026","Authorization","Authentication","",""
"","1821","User login with wrong email or password","LMS system","Tue May 26 03:34:52 UTC 2026","passed","Tue May 26 03:34:54 UTC 2026","Authorization","Authentication","",""
"","1552","Navigation from login page to registration page","LMS system","Tue May 26 03:34:53 UTC 2026","passed","Tue May 26 03:34:55 UTC 2026","Authorization","Authentication","",""
"","1663","Check displaying of empty courses list","LMS system","Tue May 26 03:34:57 UTC 2026","passed","Tue May 26 03:34:58 UTC 2026","Courses","Courses","",""
