"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","Tue May 19 10:56:09 UTC 2026","passed","Tue May 19 10:56:09 UTC 2026","TestUserInterface","test_markers","",""
"","0","test_logout","tests.pytest","Tue May 19 10:56:09 UTC 2026","passed","Tue May 19 10:56:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","Tue May 19 10:56:09 UTC 2026","passed","Tue May 19 10:56:09 UTC 2026","","test_markers","",""
"","1726","Check displaying of dashboard page","LMS system","Tue May 19 10:56:10 UTC 2026","passed","Tue May 19 10:56:12 UTC 2026","Dashboard","Dashboard","",""
"","3018","User login with correct email and password","LMS system","Tue May 19 10:55:57 UTC 2026","passed","Tue May 19 10:56:00 UTC 2026","Authorization","Authentication","",""
"","2730","Edit course","LMS system","Tue May 19 10:56:07 UTC 2026","passed","Tue May 19 10:56:10 UTC 2026","Courses","Courses","",""
"","2453","Create course","LMS system","Tue May 19 10:56:06 UTC 2026","passed","Tue May 19 10:56:09 UTC 2026","Courses","Courses","",""
"","1","test_critical_login","tests.pytest","Tue May 19 10:56:09 UTC 2026","passed","Tue May 19 10:56:09 UTC 2026","","test_markers","",""
"","1827","User login with wrong email or password","LMS system","Tue May 19 10:56:00 UTC 2026","passed","Tue May 19 10:56:02 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Tue May 19 10:56:09 UTC 2026","passed","Tue May 19 10:56:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","1973","User login with wrong email or password","LMS system","Tue May 19 10:55:57 UTC 2026","passed","Tue May 19 10:55:59 UTC 2026","Authorization","Authentication","",""
"","1631","Check displaying of empty courses list","LMS system","Tue May 19 10:56:04 UTC 2026","passed","Tue May 19 10:56:06 UTC 2026","Courses","Courses","",""
"","1662","User login with wrong email or password","LMS system","Tue May 19 10:56:01 UTC 2026","passed","Tue May 19 10:56:03 UTC 2026","Authorization","Authentication","",""
"","1512","Navigation from login page to registration page","LMS system","Tue May 19 10:56:02 UTC 2026","passed","Tue May 19 10:56:03 UTC 2026","Authorization","Authentication","",""
"","1","test_password_reset","tests.pytest","Tue May 19 10:56:09 UTC 2026","passed","Tue May 19 10:56:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","1889","User registration with correct email, username and password","LMS system","Tue May 19 10:56:04 UTC 2026","passed","Tue May 19 10:56:06 UTC 2026","Registration","Authentication","",""
