"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1720","Check displaying of dashboard page","LMS system","Tue May 19 10:29:55 UTC 2026","passed","Tue May 19 10:29:57 UTC 2026","Dashboard","Dashboard","",""
"","1615","User login with wrong email or password","LMS system","Tue May 19 10:29:46 UTC 2026","passed","Tue May 19 10:29:47 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Tue May 19 10:29:54 UTC 2026","passed","Tue May 19 10:29:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Tue May 19 10:29:54 UTC 2026","passed","Tue May 19 10:29:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Tue May 19 10:29:54 UTC 2026","passed","Tue May 19 10:29:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","1828","User login with wrong email or password","LMS system","Tue May 19 10:29:45 UTC 2026","passed","Tue May 19 10:29:47 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Tue May 19 10:29:54 UTC 2026","passed","Tue May 19 10:29:54 UTC 2026","TestUserInterface","test_markers","",""
"","2919","User login with correct email and password","LMS system","Tue May 19 10:29:42 UTC 2026","passed","Tue May 19 10:29:45 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Tue May 19 10:29:54 UTC 2026","passed","Tue May 19 10:29:54 UTC 2026","","test_markers","",""
"","1953","User login with wrong email or password","LMS system","Tue May 19 10:29:42 UTC 2026","passed","Tue May 19 10:29:44 UTC 2026","Authorization","Authentication","",""
"","1764","User registration with correct email, username and password","LMS system","Tue May 19 10:29:49 UTC 2026","passed","Tue May 19 10:29:50 UTC 2026","Registration","Authentication","",""
"","2508","Create course","LMS system","Tue May 19 10:29:51 UTC 2026","passed","Tue May 19 10:29:54 UTC 2026","Courses","Courses","",""
"","1649","Navigation from login page to registration page","LMS system","Tue May 19 10:29:47 UTC 2026","passed","Tue May 19 10:29:49 UTC 2026","Authorization","Authentication","",""
"","1625","Check displaying of empty courses list","LMS system","Tue May 19 10:29:49 UTC 2026","passed","Tue May 19 10:29:51 UTC 2026","Courses","Courses","",""
"","2652","Edit course","LMS system","Tue May 19 10:29:52 UTC 2026","passed","Tue May 19 10:29:55 UTC 2026","Courses","Courses","",""
"","1","test_regression_case","tests.pytest","Tue May 19 10:29:54 UTC 2026","passed","Tue May 19 10:29:54 UTC 2026","","test_markers","",""
