"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_password_reset","tests.pytest","Tue May 19 10:41:49 UTC 2026","passed","Tue May 19 10:41:49 UTC 2026","TestUserAuthentication","test_markers","",""
"","2383","Create course","LMS system","Tue May 19 10:41:46 UTC 2026","passed","Tue May 19 10:41:49 UTC 2026","Courses","Courses","",""
"","1672","Check displaying of dashboard page","LMS system","Tue May 19 10:41:51 UTC 2026","passed","Tue May 19 10:41:52 UTC 2026","Dashboard","Dashboard","",""
"","0","test_forgot_password_link","tests.pytest","Tue May 19 10:41:49 UTC 2026","passed","Tue May 19 10:41:49 UTC 2026","TestUserInterface","test_markers","",""
"","1","test_regression_case","tests.pytest","Tue May 19 10:41:49 UTC 2026","passed","Tue May 19 10:41:49 UTC 2026","","test_markers","",""
"","2749","User login with correct email and password","LMS system","Tue May 19 10:41:38 UTC 2026","passed","Tue May 19 10:41:41 UTC 2026","Authorization","Authentication","",""
"","1","test_logout","tests.pytest","Tue May 19 10:41:49 UTC 2026","passed","Tue May 19 10:41:49 UTC 2026","TestUserAuthentication","test_markers","",""
"","1806","User login with wrong email or password","LMS system","Tue May 19 10:41:40 UTC 2026","passed","Tue May 19 10:41:42 UTC 2026","Authorization","Authentication","",""
"","1797","User registration with correct email, username and password","LMS system","Tue May 19 10:41:44 UTC 2026","passed","Tue May 19 10:41:46 UTC 2026","Registration","Authentication","",""
"","1665","Check displaying of empty courses list","LMS system","Tue May 19 10:41:44 UTC 2026","passed","Tue May 19 10:41:46 UTC 2026","Courses","Courses","",""
"","1639","User login with wrong email or password","LMS system","Tue May 19 10:41:41 UTC 2026","passed","Tue May 19 10:41:43 UTC 2026","Authorization","Authentication","",""
"","1620","Navigation from login page to registration page","LMS system","Tue May 19 10:41:42 UTC 2026","passed","Tue May 19 10:41:44 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Tue May 19 10:41:49 UTC 2026","passed","Tue May 19 10:41:49 UTC 2026","TestUserAuthentication","test_markers","",""
"","1836","User login with wrong email or password","LMS system","Tue May 19 10:41:38 UTC 2026","passed","Tue May 19 10:41:40 UTC 2026","Authorization","Authentication","",""
"","2622","Edit course","LMS system","Tue May 19 10:41:48 UTC 2026","passed","Tue May 19 10:41:50 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Tue May 19 10:41:49 UTC 2026","passed","Tue May 19 10:41:49 UTC 2026","","test_markers","",""
