"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression_case","tests.pytest","Tue May 19 10:35:39 UTC 2026","passed","Tue May 19 10:35:39 UTC 2026","","test_markers","",""
"","1649","Navigation from login page to registration page","LMS system","Tue May 19 10:35:32 UTC 2026","passed","Tue May 19 10:35:34 UTC 2026","Authorization","Authentication","",""
"","2963","User login with correct email and password","LMS system","Tue May 19 10:35:28 UTC 2026","passed","Tue May 19 10:35:31 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Tue May 19 10:35:39 UTC 2026","passed","Tue May 19 10:35:39 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Tue May 19 10:35:39 UTC 2026","passed","Tue May 19 10:35:39 UTC 2026","TestUserAuthentication","test_markers","",""
"","1834","User registration with correct email, username and password","LMS system","Tue May 19 10:35:34 UTC 2026","passed","Tue May 19 10:35:36 UTC 2026","Registration","Authentication","",""
"","0","test_logout","tests.pytest","Tue May 19 10:35:39 UTC 2026","passed","Tue May 19 10:35:39 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Tue May 19 10:35:39 UTC 2026","passed","Tue May 19 10:35:39 UTC 2026","","test_markers","",""
"","2320","Create course","LMS system","Tue May 19 10:35:36 UTC 2026","passed","Tue May 19 10:35:39 UTC 2026","Courses","Courses","",""
"","1712","User login with wrong email or password","LMS system","Tue May 19 10:35:30 UTC 2026","passed","Tue May 19 10:35:32 UTC 2026","Authorization","Authentication","",""
"","1916","User login with wrong email or password","LMS system","Tue May 19 10:35:28 UTC 2026","passed","Tue May 19 10:35:30 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Tue May 19 10:35:39 UTC 2026","passed","Tue May 19 10:35:39 UTC 2026","TestUserInterface","test_markers","",""
"","2577","Edit course","LMS system","Tue May 19 10:35:38 UTC 2026","passed","Tue May 19 10:35:40 UTC 2026","Courses","Courses","",""
"","1651","User login with wrong email or password","LMS system","Tue May 19 10:35:31 UTC 2026","passed","Tue May 19 10:35:33 UTC 2026","Authorization","Authentication","",""
"","1563","Check displaying of empty courses list","LMS system","Tue May 19 10:35:35 UTC 2026","passed","Tue May 19 10:35:36 UTC 2026","Courses","Courses","",""
"","1608","Check displaying of dashboard page","LMS system","Tue May 19 10:35:41 UTC 2026","passed","Tue May 19 10:35:42 UTC 2026","Dashboard","Dashboard","",""
